s1_id,target_id,match_type,s1_raw_name,target_raw_name,s1_norm_name,target_norm_name,s1_raw_addr,target_raw_addr,s1_country,target_country,country_match,failure_pattern
S1-268125733,S3-304304405,multi_match,Shiva Products LLP,சிவா புராடக்ட்ஸ் எல்எல்பி,shiva products llp,,"No.4, Mahadevan Street, Nehru Nagar, Chrompet, Chennai, Tamil Nadu","No.4, Chennai, TN",india,india,True,transliteration_devanagari_erasure
S1-131114284,S3-846550088,multi_match,Super Properties Limited,सुपर प्रॉपर्टीज लिमिटेड,super properties ltd,,"502, Floor-4, Plot-962, A-Wing, Manoj Chs, Kakasaheb G Marg, Prabhadevi, Mumbai, Mumbai City, Maharashtra","00502, Mumbai, MH",india,india,True,transliteration_devanagari_erasure
S1-701927321,S3-595194076,multi_match,Hari It Pvt Ltd,హరి ఐటీ ప్రైవేట్ లిమిటెడ్,hari it pvt ltd,,"7-75, Ayyappa Colony Dammaiguda, Hyderabad, Telangana","7-7, Hyderabad, TG",india,india,True,transliteration_devanagari_erasure
S1-641207351,S3-623231468,multi_match,New Delhi Dealtrade Private Limited,Evodelta,new delhi dealtrade pvt ltd,evodelta,"At House No 1-A, Shop No 3, Upper Ground Floor Blk-3, New Delhi, West Delhi, Delhi","At House No 1-A, Gautam Budh Nagar, दिल्ली",india,india,True,address_numeric_match
S1-641207351,S3-765830449,multi_match,New Delhi Dealtrade Private Limited,Iriviocalo,new delhi dealtrade pvt ltd,iriviocalo,"At House No 1-A, Shop No 3, Upper Ground Floor Blk-3, New Delhi, West Delhi, Delhi","At House No 1-A, Gautam Budh Nagar, DL",india,india,True,address_numeric_match
S1-137539955,S3-532634745,single_match,Innovative Ventures Private Limited,இன்னோவேட்டிவ் வென்ச்சர்ஸ் பிரைவேட் லிமிடெட்,innovative vent pvt ltd,,"No.192, 6Th Street, Krishnamachary Nagar, Valasaravakkam, Chennai, Tamil Nadu","#192, Tiruvallur, தமிழ்நாடு",india,india,True,transliteration_devanagari_erasure
S1-527000111,S3-251131192,multi_match,Figueroa National Vii,Evoquo,figueroa national vii,evoquo,"3340 Colchester Road, Columbus, OH","340 Colchester Rd, Coumbus, Ohio",us,us,True,dba_trade_name_or_different
S1-357158894,S2-122082846,multi_match,Perfect Media Private Limited,ಪರ್ಫೆಕ್ಟ್ ಮೀಡಿಯಾ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,perfect media pvt ltd,,"#1/1, 34Th Cross, 2Nd Blk, Juganahalli, Rajajinagar, Bangalore, Karnataka","#1/1, BANGALORE, ಕರ್ನಾಟಕ",india,india,True,transliteration_devanagari_erasure
S1-803560750,S3-521789387,multi_match,"Barnes, Bard and Castner East Inc",Yumadova,barnes bard and castner east inc,yumadova,"14601 California Avenue, Robbins, IL","California Ave, Posen, Illinois",us,us,True,dba_trade_name_or_different
S1-944212162,S2-496589145,multi_match,Maa Golden Foods Pvt Ltd,मां गोल्डन फूड्स प्रा. लि.,maa golden foods pvt ltd,,"1/5, Geeta Colony, Delhi, East Delhi, Delhi","##1/5, DELHI",india,india,True,transliteration_devanagari_erasure
S1-79338680,S3-777257347,multi_match,City Constructions Private Limited,સિટી કન્સ્ટ્રક્શન્સ પ્રાઇવેટ લિમિટેડ,city constructions pvt ltd,,"Plot No.2, Office No.114, Someshwar Square, Aagam H Village, Surat, Gujarat","#2, Surat, Piplod, ગુજરાત",india,india,True,transliteration_devanagari_erasure
S1-884012007,S2-238079989,multi_match,Urban Infotech Private Limited,अर्बन इंफोटेक प्राइवेट लिमिटेड,urban infotech pvt ltd,,"Maharashtra, Pune, Horizon Avenue, D-Wing Gv-7 Phase 2, Ambegon Bk, Behind Podar School, D-303","D-3-03, PUNE, महाराष्ट्र",india,india,True,transliteration_devanagari_erasure
S1-109419719,S2-966848578,multi_match,Alpha Exports Private Limited,ആൽഫ എക്സ്പോർട്സ് പ്രൈവറ്റ് ലിമിറ്റഡ്,alpha exports pvt ltd,,"P.O.Road, Thrissur, Kerala","THRISSUR, Keralam, THRISSUR, 862 P.O.ROAD",india,india,True,transliteration_devanagari_erasure
S1-887259351,S3-642457374,multi_match,One Constructions Private Limited,ಒನ್ ಕನ್‌ಸ್ಟ್ರಕ್ಷನ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,one constructions pvt ltd,,"No 7/1, 4Th Cross, Jaijavan Nagar C Banasawadi Road, Bangalore, Karnataka","Door No 7/1, Bengaluru, Bangalore, KA",india,india,True,transliteration_devanagari_erasure
S1-195641855,S2-398342942,multi_match,Digital Projects Limited,డిజిటల్ ప్రాజెక్ట్స్ లిమిటెడ్,digital projects ltd,,"Plot No. 65, Hyderabad, Shaikpet, Telangana, 2Nd Floor, Prashashan Nagar, Road No. 72","PLOT NO. 065, GUNTUR, Telangana",india,india,True,transliteration_devanagari_erasure
S1-84701835,S3-174775292,multi_match,Lakshmi Properties Private Limited,লক্ষ্মী প্রপার্টিজ প্রাইভেট লিমিটেড,lakshmi properties pvt ltd,,"2A, Ganesh Chandra Avenue, 6Th Floor, Room No. 2, Kolkata, Kolkata, Howrah, West Bengal","2A, Gopalnagar Dist Hooghly, পশ্চিমবঙ্গ",india,india,True,transliteration_devanagari_erasure
S1-969751498,S3-672879316,multi_match,Global Infra Pvt Ltd,ગ્લોબલ ઇન્ફ્રા પ્રા. લિ.,global infra pvt ltd,,"A-50, Neminath Krupa Society, B/H Vishram Nagar, Memnagar, Ahmedabad, Gujarat","A-5-0, Ahmedabad, Ahmadabad, GJ",india,india,True,transliteration_devanagari_erasure
S1-97055489,S3-207235733,multi_match,Chiropractic Grand Associates,Pyrasyn,chiropractic grand associates,pyrasyn,"514 Central Avenue, Phoenix, AZ","714 Central Ave, Rio Salado, Arizona",us,us,True,dba_trade_name_or_different
S1-830385570,S3-385396755,multi_match,Goa Industries Private Limited,goaindustriescom,goa ind pvt ltd,goaindustriescom,"Plot No.1, Balaji Ki Chatri, Mataji Ke Mandir Ke Paas, Bhilwara, Rajasthan","No #1, Bhilwara, Shahpura, राजस्थान",india,india,True,address_numeric_match
S1-289004148,S2-985382051,multi_match,High Projects Private Limited,హై ప్రాజెక్ట్స్ ప్రైవేట్ లిమిటెడ్,high projects pvt ltd,,"Flat No.1002, Lh -17, Lanco Hills Near Delhi Public School, Manikonda, Hyderabad, Telangana","FLAT NO.1003, HYDERABAD, Andhra Pradesh",india,india,True,transliteration_devanagari_erasure
S1-480603560,S3-719302784,multi_match,Universal Infotech,यूनिवर्सल इंफोटेक,universal infotech,,"1Stflr, No.10Shweta Heights Kanakia Rd, Opp.Vasudev Skyapt Nr Watertank, Thane, Maharashtra","1Stfl/r9, Thane, MH",india,india,True,transliteration_devanagari_erasure
S1-480603560,S3-449123498,multi_match,Universal Infotech,यूनिवर्सल इंफोटेक,universal infotech,,"1Stflr, No.10Shweta Heights Kanakia Rd, Opp.Vasudev Skyapt Nr Watertank, Thane, Maharashtra","महाराष्ट्र, 1Stfrl/9, Thane",india,india,True,transliteration_devanagari_erasure
S1-563258369,S3-957513229,multi_match,Raj Technologies Pvt Ltd,ರಾಜ್ ಟೆಕ್ನಾಲಜೀಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,raj technologies pvt ltd,,"11, Sy. N. 48/10, Konan Kunte Chunch Gatta, Main Road, Bangalore, Karnataka","Bangalore, ಕರ್ನಾಟಕ, 011, Bangalore",india,india,True,transliteration_devanagari_erasure
S1-869445737,S3-62172630,multi_match,Aditya Tech Private Limited,आदित्य टेक प्राइवेट लिमिटेड,aditya tech pvt ltd,,"P-5, Mumbai, Studio Anjaneya, One Avighna Park, Mahadev Palav Marg, Parel, Maharashtra, Mumbai","P-##5, MH, Mumbai, Bombay",india,india,True,transliteration_devanagari_erasure
S1-511572462,S3-755090177,multi_match,Foundry Inc,Evosol,foundry inc,evosol,"6005 Median Road, Austin, TX","Autsin, Texas, Median Rd",us,us,True,dba_trade_name_or_different
S1-495906825,S3-333325327,multi_match,Wahpeton Oncology Care Associates LLC,Arcriza,wahpeton oncology care associates llc,arcriza,"627 8th Street, Wahpeton, ND","North Dakota, 627 Eighth Street, Wahpetno",us,us,True,address_numeric_match
S1-607091901,S3-652319783,multi_match,Dream My Builders Private Limited,ड्रीम माय बिल्डर्स प्राइवेट लिमिटेड,dream my builders pvt ltd,,"Plot No D-4, Old Midc, Satara, Maharashtra","Plot No D-4/1, Satara, MH",india,india,True,transliteration_devanagari_erasure
S1-883555081,S2-326231625,multi_match,Indian Services Limited,इंडियन सर्विसेज लिमिटेड,indian svc ltd,,"H-5, Near Sanjay Park, Shakarpur, Delhi","H-5, SHAKARPUR, MANDAWALI FAZALPUR, दिल्ली",india,india,True,transliteration_devanagari_erasure
S1-6770855,S3-883390771,single_match,Galaxy Industries LLP,கேலக்ஸி இண்டஸ்ட்ரீஸ் எல்எல்பி,galaxy ind llp,,"6/4, Kumaran Garden, Ediyarpalayam Pirivu, Kuniamuthur, Coimbatore, Tamil Nadu","6/4, Coimbatore, TN",india,india,True,transliteration_devanagari_erasure
S1-996196567,S3-941021301,multi_match,Swastik Consultants,स्वस्तिक कंसल्टेंट्स,swastik consultants,,"P.N 121, Jaipur, Shri Govind Nagar First, Niwaroo, Jaipur, Rajasthan","P.n 521, Jaipur, RJ",india,india,True,transliteration_devanagari_erasure
S1-342384975,S3-259488787,multi_match,Hitech Future Infra Pvt Ltd,ಹೈಟೆಕ್ ಫ್ಯೂಚರ್ ಇನ್‌ಫ್ರಾ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,hitech future infra pvt ltd,,"7, 3Rd Main Road, Vyalikavalbangalore, Karnataka","7., KA, Vyalikavalbangalore",india,india,True,transliteration_devanagari_erasure
S1-533920867,S3-448639906,single_match,Custom Apparel Products LLC,Zetaaria,custom apparel products llc,zetaaria,"7 Southgate Road, Colonie, NY","7-D Southgate Rd, Albany, New York",us,us,True,address_numeric_match
S1-490983370,S3-716790196,multi_match,Perfect Industries,परफेक्ट इंडस्ट्रीज,perfect ind,,"Floor-G-2, 11, Essar House, Keshavrao Khadye Marg, Oopp Mahalaxmi Race Course, Mahalaxmi, Tardeo, Mumbai, Maharashtra","Floor-g-2, Mumbai, MH",india,india,True,transliteration_devanagari_erasure
S1-458731945,S2-79605600,multi_match,Smart Investments LLP,स्मार्ट इन्वेस्टमेंट्स एलएलपी,smart investments llp,,"7, Prem Bhawan, 234/236, Narshi Natha Street, Mashid Bunder, (W), Mumbai, Thane, Maharashtra","##7, BOMBAY, MUMBAI (SUBURBAN), महाराष्ट्र",india,india,True,transliteration_devanagari_erasure
S1-246435074,S2-579903722,multi_match,Silver Builders Private Limited,சில்வர் பில்டர்ஸ் பிரைவேட் லிமிடெட்,silver builders pvt ltd,,"3, Gateway School Road, Sva Complex, Kazhipattur, Chennai, Tamil Nadu","#3, MADRAS, CHENNAI, தமிழ்நாடு",india,india,True,transliteration_devanagari_erasure
S1-762862396,S3-995081103,multi_match,Real Golden Engineering Limited,રિયલ ગોલ્ડન એન્જિનિયરિંગ લિમિટેડ,real golden engineering ltd,,"B-3, Cellar, Kalapurnam, Nr. Municipal Market, C.G. Road, Navrangpura, Ahmedabad, Gujarat","B-3, Ahmedabad, GJ",india,india,True,transliteration_devanagari_erasure
S1-762862396,S3-318247257,multi_match,Real Golden Engineering Limited,રિયલ ગોલ્ડન એન્જિનિયરિંગ લિમિટેડ,real golden engineering ltd,,"B-3, Cellar, Kalapurnam, Nr. Municipal Market, C.G. Road, Navrangpura, Ahmedabad, Gujarat","B-3, Ahmedabad, GJ",india,india,True,transliteration_devanagari_erasure
S1-623076101,S2-779862867,multi_match,Smart Exports Limited,स्मार्ट एक्सपोर्ट्स लिमिटेड,smart exports ltd,,"H. No. 1057, Haryana, Gurgaon, Sector- 14","हरियाणा, GURGAON, H. NO.",india,india,True,transliteration_devanagari_erasure
S1-613361741,S2-563838887,multi_match,High Infrastructure Private Limited,हाई इंफ्रास्ट्रक्चर प्राइवेट लिमिटेड,high infrastructure pvt ltd,,"1/4, 913, First Floor Gali No. 7, Balbir Nagar Extension, Shah, Dara, Delhi, East Delhi, Delhi","1/4, DELHI, NEW DELHI, Delhi",india,india,True,transliteration_devanagari_erasure
S1-352404943,S2-486995375,multi_match,Urmila International School Corp,Dr Calofluxfaye,urmila intl school corp,dr calofluxfaye,"Plot No: B-22/B, Ii Main Road, Afochs, Sainikpuri, Secunderabad, Hyderabad, Telangana","PLOT NO: B-0022/B, HYDERABAD, తెలంగాణ",india,india,True,dba_trade_name_or_different
S1-379062188,S3-316805871,multi_match,American Wisekey LLC,Evoyumamira,american wisekey llc,evoyumamira,"18 Jenna Road, Wallingford, CT","Jenna Rd, Wallingfoord Township, Connecticut",us,us,True,dba_trade_name_or_different
S1-542154699,S3-803008563,multi_match,Laxmi Agro Private Limited,ലക്ഷ്മി അഗ്രോ പ്രൈവറ്റ് ലിമിറ്റഡ്,laxmi agro pvt ltd,,"Holiday House, 33/2379, Geethanjali Junction Nh Bypass, Thammanam P O, Ernakulam, Kerala","Holiday House, Kochi Region, KL",india,india,True,transliteration_devanagari_erasure
S1-43729167,S3-808159395,multi_match,Eastern Finance Pvt Ltd,ईस्टर्न फाइनेंस प्रा. लि.,eastern finance pvt ltd,,"Sco-2, Second Floor, Eldeco, Murthal, Sonipat, Haryana","Sco-2, Ganaur, हरियाणा",india,india,True,transliteration_devanagari_erasure
S1-739358407,S3-621327245,multi_match,Ace Investment Limited,एस इन्वेस्टमेंट लिमिटेड,ace investment ltd,,"Plot No. 27, Union Park, Tirlok Kapoor Marg, Mumbai, Maharashtra","Plot No. 027, Mumbai, MH",india,india,True,transliteration_devanagari_erasure
S1-706178192,S3-14356048,multi_match,Big Hospitality Private Limited,ਬਿਗ ਹਾਸਪਿਟੈਲਿਟੀ ਪ੍ਰਾਈਵੇਟ ਲਿਮਟਿਡ,big hospitality pvt ltd,,"7, Press Complex Near Aruna Barna Chownk Road, Patiala, Punjab","7, Patiala, PB",india,india,True,transliteration_devanagari_erasure
S1-434472830,S2-592778648,multi_match,Smart Exports Private Limited,स्मार्ट एक्सपोर्ट्स प्राइवेट लिमिटेड,smart exports pvt ltd,,"Shop No.4, Mahavir Dham, Vasant Nagari Vasai (East), Thane, Maharashtra","B3/4, THANE, महाराष्ट्र",india,india,True,transliteration_devanagari_erasure
S1-346153411,S2-184155192,multi_match,Shivam Technologies Private Limited,शिवम टेक्नोलॉजीज प्राइवेट लिमिटेड,shivam technologies pvt ltd,,"B-5, Manas Apartments Mayur Vihar, Phase-1, Delhi, East Delhi, Delhi","DIVREPORTINGCIRCLE, B-5., Delhi",india,india,True,transliteration_devanagari_erasure
S1-268169736,S3-622778444,multi_match,Hitech Prime Projects Private Limited,हाईटेक प्राइम प्रोजेक्ट्स प्राइवेट लिमिटेड,hitech prime projects pvt ltd,,"A-56, Sector-72A, Near Dpg College, Tikri, Dlf Qe, Gurgaon, Haryana","A-5-6, Gurgaon, HR",india,india,True,transliteration_devanagari_erasure
S1-948179401,S2-5176271,multi_match,Indian Ventures Limited,इंडियन वेंचर्स लिमिटेड,indian vent ltd,,"A- 501, 502, Lotus Corporate Park, Off Western Express Highway, Goregoan (E, ), Mumbai, Mumbai City, Maharashtra","A- 501/5, BOMBAY, महाराष्ट्र",india,india,True,transliteration_devanagari_erasure
S1-154776835,S3-184485144,multi_match,Shree Solutions Private Limited,श्री सॉल्यूशंस प्राइवेट लिमिटेड,shree sol pvt ltd,,"Jabalpur, 8, Madhya Pradesh, B Block, 2Nd Floor Johnson Tower, Opp Mahrishi Vidya Mandir, Jabalpur","##8, Jabalpur, MP",india,india,True,transliteration_devanagari_erasure
S1-848942937,S3-918735639,multi_match,Sky Software Limited,स्काई सॉफ्टवेयर लिमिटेड,sky software ltd,,"G-2, Premanchal Apartment 97, Girdhar Nagar, Tilak Nagar, Indore, Madhya Pradesh","Indore, Block C-320. G-2, Indore, MP",india,india,True,transliteration_devanagari_erasure
S1-345219763,S2-832382007,multi_match,Shyam Global Private Limited,श्याम ग्लोबल प्राइवेट लिमिटेड,shyam global pvt ltd,,"Maharashtra, Kolhapur, Shahupuri, 1St Lane, Kolhapur, 614 E","E, NULL, MUMBAI, KOLHAPUR, महाराष्ट्र",india,india,True,transliteration_devanagari_erasure
S1-345219763,S2-795507781,multi_match,Shyam Global Private Limited,श्याम ग्लोबल प्राइवेट लिमिटेड,shyam global pvt ltd,,"Maharashtra, Kolhapur, Shahupuri, 1St Lane, Kolhapur, 614 E","KOLHAPUR, E, NULL, MUMBAI, महाराष्ट्र",india,india,True,transliteration_devanagari_erasure
S1-513561866,S2-458011241,multi_match,Lakshmi Investments Pvt Ltd,लक्ष्मी इन्वेस्टमेंट्स प्रा. लि.,lakshmi investments pvt ltd,,"4, Chandra Nagar, Mukhta Nand Nagar, Gopalpura, Jaipur, Rajasthan","4/1, CHITTAURGARH, JAIPUR, राजस्थान",india,india,True,transliteration_devanagari_erasure
S1-623408884,S2-725402573,multi_match,Raj Technology Private Limited,রাজ টেকনোলজি প্রাইভেট লিমিটেড,raj technology pvt ltd,,"D-6/8, Purbasha Housing Estate, 160, Manicktala Main Road, Kolkata, Kolkata, Howrah, West Bengal","D-#6/8, KOLKATA REGION, পশ্চিমবঙ্গ",india,india,True,transliteration_devanagari_erasure
S1-268524976,S3-490396097,multi_match,Global Management Pvt Ltd,ગ્લોબલ મેનેજમેન્ટ પ્રા. લિ.,global management pvt ltd,,"A/2, Gurukrupa Society, Pilodara Road Balasinor, Dist. Mahisagar, Kheda, Gujarat","Kheda, A/2, ગુજરાત",india,india,True,transliteration_devanagari_erasure
S1-268524976,S3-73907116,multi_match,Global Management Pvt Ltd,ગ્લોબલ મેનેજમેન્ટ પ્રા. લિ.,global management pvt ltd,,"A/2, Gurukrupa Society, Pilodara Road Balasinor, Dist. Mahisagar, Kheda, Gujarat","A/2, Kheda, ગુજરાત",india,india,True,transliteration_devanagari_erasure
S1-765709722,S3-931226814,multi_match,Sunrise Consulting Private Limited,સનરાઇઝ કન્સલ્ટિંગ પ્રાઇવેટ લિમિટેડ,sunrise consulting pvt ltd,,"Junagadh, Subham Estate, Nr. Pgvcl Office, Bahadur, Plot No.5, Junagadh, Gujarat","ગુજરાત, Junagadh, Plot No.5, Junagadh",india,india,True,transliteration_devanagari_erasure
S1-316590260,S2-853503783,multi_match,Southern Producer Private Limited,सदर्न प्रोड्यूसर प्राइवेट लिमिटेड,southern producer pvt ltd,,"B-402, Suncity Heights Apartments, Golf Course Road, Sector-54, Gurgaon, Haryana","B-0402, GURGAON, हरियाणा",india,india,True,transliteration_devanagari_erasure
S1-42156548,S3-986713865,multi_match,IL Truist LLC,Orbifayeecto,il truist llc,orbifayeecto,"3131 Cornwall Road, Dundalk, MD","Cornwall Road, Dndalk, Maryland",us,us,True,dba_trade_name_or_different
S1-854096402,S3-185698041,multi_match,Shyam Developers Limited,ଶ୍ୟାମ ଡେଭଲପର୍ସ୍ ଲିମିଟେଡ୍,shyam developers ltd,,"Flat-302, Kalyani Avenue, Village- Sundara, Barbil, Barbil, Kendujhar, Orissa","Flat-0302, Kendujhar, ଓଡ଼ିଶା",india,india,True,transliteration_devanagari_erasure
S1-95698496,S2-416126079,multi_match,Shivam Systems Private Limited,शिवम सिस्टम्स प्राइवेट लिमिटेड,shivam systems pvt ltd,,"E-10, First Floor, New Delhi, South West Delhi, Delhi","E-10, GURUGRAM, दिल्ली",india,india,True,transliteration_devanagari_erasure
S1-61821975,S2-119877433,multi_match,Global Solutions Private Limited,ग्लोबल सॉल्यूशंस प्राइवेट लिमिटेड,global sol pvt ltd,,"B-128, Basement, Cabin S-1, Dayanand Colony, Lajpat Nagar-4, New Delhi, Delhi","B-00128, NOIDA GREATER ,UNDER ZO  MEERUT, Delhi",india,india,True,transliteration_devanagari_erasure
S1-806395311,S3-874232880,multi_match,"Peckham, Sparkman & Kennedy LLC",Fayeumbra,peckham sparkman and kennedy llc,fayeumbra,"212 3rd Street, Harrisonburg City, VA","00212 3st Street, Harrisonburg, Virginia",us,us,True,address_numeric_match
S1-377072791,S3-366055256,multi_match,Glyphus For Inc.,Veodovanex,glyphus for inc,veodovanex,"7 Wilson Street, Billerica, MA","7 Wison St, PMB 6209, Billerica, Massachusetts",us,us,True,address_numeric_match
S1-953847121,S3-949567753,multi_match,Blue Estate Private Limited,ब्लू एस्टेट प्राइवेट लिमिटेड,blue estate pvt ltd,,"Flat No. 204, 2Nd Flr., B- Wing, Shankar Enclave Rai Residency, Gaondevi Rd., Tisgaon Kal, Yan East, Thane, Maharashtra","Flat No. 2-04, Thane, MH",india,india,True,transliteration_devanagari_erasure
S1-233553576,S2-394950996,multi_match,Galaxy Consulting Pvt Ltd,गैलेक्सी कंसल्टिंग प्रा. लि.,galaxy consulting pvt ltd,,"Shop No. 4, Indira Market, Near Bus Stand, Panipat, Haryana","H.NO 4, NULL, PANIPAT, हरियाणा",india,india,True,transliteration_devanagari_erasure
S1-970003763,S3-96774817,multi_match,Pioneer Estate,પાયોનિયર એસ્ટેટ,pioneer estate,,"Block - A, Shop -114, Ganesh Meridian Opp. High Court, S.G. Highway, Ghatlodia, Ahmedabad, Gujarat","Bock - A, Ahmedabad, GJ",india,india,True,transliteration_devanagari_erasure
S1-603849828,S2-900175517,multi_match,Premier Infra Private Limited,प्रीमियर इंफ्रा प्राइवेट लिमिटेड,premier infra pvt ltd,,"A-394, Vaishali Nagar, Jaipur, Rajasthan","JAIPUR, राजस्थान, JAIPUR, A-294",india,india,True,transliteration_devanagari_erasure
S1-266174227,S2-62101031,multi_match,Ss Foundation Private Limited,एसएस फाउंडेशन प्राइवेट लिमिटेड,ss foundation pvt ltd,,"Flat No. A-9, Iind Floor, Ganpati Enclave, Ajmer Road, Jaipur, Rajasthan","FLAT NO. A-B3/9, JAIPUR, राजस्थान",india,india,True,transliteration_devanagari_erasure
S1-875773720,S2-961782016,multi_match,Sree Investments Private Limited,ஸ்ரீ இன்வெஸ்ட்மெண்ட்ஸ் பிரைவேட் லிமிடெட்,sree investments pvt ltd,,"No.7, 11Th Avenue, Ashok Nagar, Chennai, Tamil Nadu","NO.7, CHENNAI CITY REGION, CHENNAI, தமிழ்நாடு",india,india,True,transliteration_devanagari_erasure
S1-976383283,S2-621554117,multi_match,Ram Krishna Services Private Limited,ராம் கிருஷ்ணா சர்வீசஸ் பிரைவேட் லிமிடெட்,ram krishna svc pvt ltd,,"Flat.No.3, Banyan View, Iii Floor, New.No.39, Karpagam Garden, 1St Main Road, Adyar, Chennai, Tamil Nadu","FLAT.NO.D/3, CHENNAI, தமிழ்நாடு",india,india,True,transliteration_devanagari_erasure
S1-976383283,S3-210139553,multi_match,Ram Krishna Services Private Limited,ராம் கிருஷ்ணா சர்வீசஸ் பிரைவேட் லிமிடெட்,ram krishna svc pvt ltd,,"Flat.No.3, Banyan View, Iii Floor, New.No.39, Karpagam Garden, 1St Main Road, Adyar, Chennai, Tamil Nadu","H.no 3, N/A, Chennai, TN",india,india,True,transliteration_devanagari_erasure
S1-717239432,S3-108210953,multi_match,Golden Energy Private Limited,ಗೋಲ್ಡನ್ ಎನರ್ಜಿ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,golden energy pvt ltd,,"No. 6, Iii Rd Main Road, Cm Halli, Bangalore, Karnataka","No. 6, Bangalore, KA",india,india,True,transliteration_devanagari_erasure
S1-944737343,S3-596956990,multi_match,First Services Pvt Ltd,ഫസ്റ്റ് സർവീസസ് പ്രൈവറ്റ് ലിമിറ്റഡ്,first svc pvt ltd,,"Door No: 504G, Tower 5, Dd Golden Gate, Palachuvadu, Kakkanad, Ernakulam, Kerala","Door No: 504, Ernakulam, KL",india,india,True,transliteration_devanagari_erasure
S1-634537373,S3-327896473,multi_match,Gold Engineering Private Limited,ગોલ્ડ એન્જિનિયરિંગ પ્રાઇવેટ લિમિટેડ,gold engineering pvt ltd,,"Flat 7&8, Plot-1/1Tps-10Fp-86, Radhe Krishna Estate Gujarat Bottling Road Near Keval Kanta, Rakhial, Ahmedabad, Gujarat","Flat 7&8, Ahmedabad Hq Region, Ahmedabad, GJ",india,india,True,transliteration_devanagari_erasure
S1-21060541,S3-376843035,multi_match,Shakti Dream Management Private Limited,शक्ति ड्रीम मैनेजमेंट प्राइवेट लिमिटेड,shakti dream management pvt ltd,,"Merzapur Rustampur, L-7, Gorakhpur, Uttar Pradesh, Gorakhpur","Gorakhpur, L-7, Gorakhpur, UP",india,india,True,transliteration_devanagari_erasure
S1-330456265,S3-225563180,multi_match,Urban Logistics Private Limited,અર્બન લોજિસ્ટિક્સ પ્રાઇવેટ લિમિટેડ,urban logistics pvt ltd,,"Shop No 3, Nirmal Complex, Opp Doctor House, Nr Parimal Crossing, Ellisbridge, Ahmedabad, Gujarat","Mumbai, Ahmedabad, GJ, 3",india,india,True,transliteration_devanagari_erasure
